sample	segment_count	included
Pt1	72	yes
Pt10	60	yes
Pt11	69	yes
Pt12	45	yes
Pt13	31	yes
Pt14	89	yes
Pt15	68	yes
Pt16	54	yes
Pt17	36	yes
Pt18	55	yes
Pt19	35	yes
Pt2	51	yes
Pt20	46	yes
Pt21	63	yes
Pt22	40	yes
Pt23	82	yes
Pt24	52	yes
Pt25	104	yes
Pt26	104	yes
Pt27	47	yes
Pt28	23	yes
Pt29	82	yes
Pt3	54	yes
Pt30	45	yes
Pt31	59	yes
Pt32	55	yes
Pt33	48	yes
Pt34	99	yes
Pt35	97	yes
Pt36	54	yes
Pt37	60	yes
Pt38	32	yes
Pt4	52	yes
Pt5	41	yes
Pt6	59	yes
Pt7	131	yes
Pt9	61	yes
Pat02	62	yes
Pat03	96	yes
Pat04	81	yes
Pat06	31	yes
Pat07	91	yes
Pat08	125	yes
Pat100	121	yes
Pat101	1044	yes
Pat103	26	yes
Pat104	48	yes
Pat105	27	yes
Pat106	48	yes
Pat109	71	yes
Pat11	40	yes
Pat110	117	yes
Pat113	43	yes
Pat115	151	yes
Pat117	48	yes
Pat118	52	yes
Pat119	81	yes
Pat121	26	yes
Pat123	25	yes
Pat124	41	yes
Pat126	90	yes
Pat127	63	yes
Pat128	56	yes
Pat129	80	yes
Pat13	74	yes
Pat130	85	yes
Pat131	24	yes
Pat132	32	yes
Pat133	126	yes
Pat135	106	yes
Pat138	51	yes
Pat139	85	yes
Pat14	73	yes
Pat140	37	yes
Pat143	91	yes
Pat147	33	yes
Pat148	42	yes
Pat15	66	yes
Pat151	94	yes
Pat157	78	yes
Pat159	123	yes
Pat16	47	yes
Pat160	65	yes
Pat162	128	yes
Pat163	51	yes
Pat165	83	yes
Pat166	132	yes
Pat167	135	yes
Pat168	241	yes
Pat17	55	yes
Pat170	41	yes
Pat171	164	yes
Pat174	29	yes
Pat175	33	yes
Pat18	47	yes
Pat19	71	yes
Pat21	105	yes
Pat24	99	yes
Pat25	39	yes
Pat27	110	yes
Pat28	46	yes
Pat29	52	yes
Pat32	33	yes
Pat33	61	yes
Pat36	66	yes
Pat37	82	yes
Pat38	82	yes
Pat39	41	yes
Pat40	63	yes
Pat41	40	yes
Pat43	49	yes
Pat44	36	yes
Pat45	106	yes
Pat46	106	yes
Pat47	81	yes
Pat49	94	yes
Pat50	45	yes
Pat54	40	yes
Pat55	87	yes
Pat56	280	yes
Pat57	195	yes
Pat58	114	yes
Pat59	58	yes
Pat60	46	yes
Pat62	119	yes
Pat63	95	yes
Pat64	84	yes
Pat66	96	yes
Pat67	112	yes
Pat70	42	yes
Pat71	70	yes
Pat73	41	yes
Pat74	108	yes
Pat76	38	yes
Pat77	44	yes
Pat78	23	yes
Pat79	75	yes
Pat80	85	yes
Pat81	89	yes
Pat82	62	yes
Pat83	67	yes
Pat85	133	yes
Pat86	70	yes
Pat88	169	yes
Pat90	168	yes
Pat92	24	yes
Pat98	243	yes
CR0095	29	yes
CR04885	43	yes
CR06670	44	yes
CR1509	29	yes
CR22640	25	yes
CR3665	31	yes
CR4880	40	yes
CR6126	34	yes
CR6161	43	yes
CR7623	34	yes
CR9306	75	yes
CR9699	35	yes
CRNR0244	46	yes
CRNR2472	37	yes
CRNR4941	23	yes
LSD0167	30	yes
LSD2057	64	yes
LSD3484	35	yes
LSD4691	24	yes
LSD4744	49	yes
LSD6819	49	yes
LSDNR1120	41	yes
LSDNR1650	32	yes
LSDNR3086	57	yes
LSDNR9298	42	yes
NR1867	98	yes
NR2137	59	yes
NR3156	25	yes
NR3549	64	yes
NR4018	37	yes
NR4045	38	yes
NR4083	40	yes
NR4631	48	yes
NR4810	36	yes
NR4949	54	yes
NR5784	25	yes
NR6689	25	yes
NR6721	39	yes
NR6842	23	yes
NR8727	23	yes
NR8815	44	yes
NR9341	23	yes
NR9445	49	yes
NR9449	52	yes
NR9521	36	yes
NR9705	93	yes
NR9765	46	yes
PR03803	33	yes
PR12117	43	yes
PR4035	46	yes
PR4046	86	yes
PR4077	52	yes
PR4091	37	yes
PR4092	43	yes
SD0346	54	yes
SD1494	46	yes
SD2051	65	yes
SD2056	50	yes
SD5038	40	yes
SD5118	41	yes
SD5934	35	yes
SD6336	66	yes
SD6494	173	yes
SD7357	35	yes
