sample	segment_count	included
Pt1	69	yes
Pt10	57	yes
Pt11	65	yes
Pt12	43	yes
Pt13	30	yes
Pt14	87	yes
Pt15	67	yes
Pt16	52	yes
Pt17	35	yes
Pt18	54	yes
Pt19	34	yes
Pt2	49	yes
Pt20	44	yes
Pt21	60	yes
Pt22	39	yes
Pt23	81	yes
Pt24	49	yes
Pt25	99	yes
Pt26	101	yes
Pt27	45	yes
Pt28	22	yes
Pt29	78	yes
Pt3	53	yes
Pt30	41	yes
Pt31	57	yes
Pt32	53	yes
Pt33	47	yes
Pt34	91	yes
Pt35	94	yes
Pt36	51	yes
Pt37	59	yes
Pt38	31	yes
Pt4	50	yes
Pt5	39	yes
Pt6	54	yes
Pt7	118	yes
Pt9	58	yes
Pat02	57	yes
Pat03	93	yes
Pat04	80	yes
Pat06	30	yes
Pat07	89	yes
Pat08	120	yes
Pat100	114	yes
Pat101	943	yes
Pat103	25	yes
Pat104	41	yes
Pat105	26	yes
Pat106	46	yes
Pat109	68	yes
Pat11	39	yes
Pat110	110	yes
Pat113	42	yes
Pat115	146	yes
Pat117	47	yes
Pat118	48	yes
Pat119	79	yes
Pat121	25	yes
Pat123	24	yes
Pat124	37	yes
Pat126	85	yes
Pat127	59	yes
Pat128	54	yes
Pat129	79	yes
Pat13	72	yes
Pat130	83	yes
Pat131	23	yes
Pat132	31	yes
Pat133	122	yes
Pat135	104	yes
Pat138	46	yes
Pat139	83	yes
Pat14	69	yes
Pat140	35	yes
Pat143	88	yes
Pat147	32	yes
Pat148	39	yes
Pat15	64	yes
Pat151	90	yes
Pat157	72	yes
Pat159	110	yes
Pat16	45	yes
Pat160	64	yes
Pat162	122	yes
Pat163	48	yes
Pat165	78	yes
Pat166	115	yes
Pat167	132	yes
Pat168	228	yes
Pat17	54	yes
Pat170	40	yes
Pat171	158	yes
Pat174	28	yes
Pat175	32	yes
Pat18	46	yes
Pat19	70	yes
Pat21	101	yes
Pat24	97	yes
Pat25	38	yes
Pat27	107	yes
Pat28	44	yes
Pat29	51	yes
Pat32	32	yes
Pat33	54	yes
Pat36	65	yes
Pat37	75	yes
Pat38	80	yes
Pat39	40	yes
Pat40	61	yes
Pat41	39	yes
Pat43	47	yes
Pat44	35	yes
Pat45	99	yes
Pat46	100	yes
Pat47	80	yes
Pat49	90	yes
Pat50	42	yes
Pat54	37	yes
Pat55	85	yes
Pat56	263	yes
Pat57	188	yes
Pat58	104	yes
Pat59	56	yes
Pat60	45	yes
Pat62	114	yes
Pat63	91	yes
Pat64	77	yes
Pat66	92	yes
Pat67	108	yes
Pat70	41	yes
Pat71	67	yes
Pat73	40	yes
Pat74	102	yes
Pat76	37	yes
Pat77	42	yes
Pat78	22	yes
Pat79	71	yes
Pat80	82	yes
Pat81	86	yes
Pat82	60	yes
Pat83	63	yes
Pat85	125	yes
Pat86	67	yes
Pat88	157	yes
Pat90	160	yes
Pat92	23	yes
Pat98	227	yes
CR0095	28	yes
CR04885	40	yes
CR06670	39	yes
CR1509	28	yes
CR22640	24	yes
CR3665	30	yes
CR4880	39	yes
CR6126	32	yes
CR6161	41	yes
CR7623	33	yes
CR9306	73	yes
CR9699	34	yes
CRNR0244	44	yes
CRNR2472	36	yes
CRNR4941	22	yes
LSD0167	29	yes
LSD2057	62	yes
LSD3484	34	yes
LSD4691	23	yes
LSD4744	48	yes
LSD6819	47	yes
LSDNR1120	39	yes
LSDNR1650	31	yes
LSDNR3086	54	yes
LSDNR9298	41	yes
NR1867	96	yes
NR2137	52	yes
NR3156	24	yes
NR3549	62	yes
NR4018	36	yes
NR4045	37	yes
NR4083	39	yes
NR4631	44	yes
NR4810	35	yes
NR4949	52	yes
NR5784	24	yes
NR6689	24	yes
NR6721	38	yes
NR6842	22	yes
NR8727	22	yes
NR8815	43	yes
NR9341	22	yes
NR9445	48	yes
NR9449	50	yes
NR9521	35	yes
NR9705	90	yes
NR9765	44	yes
PR03803	31	yes
PR12117	41	yes
PR4035	45	yes
PR4046	85	yes
PR4077	51	yes
PR4091	34	yes
PR4092	41	yes
SD0346	53	yes
SD1494	43	yes
SD2051	63	yes
SD2056	48	yes
SD5038	39	yes
SD5118	40	yes
SD5934	33	yes
SD6336	59	yes
SD6494	160	yes
SD7357	34	yes
